肌肉无力,Muscle weakness|
盲肠炎,cecitis|typhlenteritis|typhloenteritis|cecitis|typhlitis|cecitis|typhlenteritis|typhlitis|typhloenteritis|typhloteritis|
元宝草,St. Johnswort|
王不留行,cow soapwortseed|vaxxaria seed|seed of cow-fat|seed of cowherb|cowherb seed|vaccariae,semen|
铁锈色痰,rusty sputum|resty expectoratio|rusty sputum|rusty expectoration|rusty sputum|
咳痰,expectoration|
继发性肥胖,
肥胖症,adiposis|obesity|adiposis|obesity|adiposity|adiposity|
眼眶疼痛,
眼眶痛,
呼吸不规则,
呼吸不畅,disturbance in respiration|
动脉粥样硬化斑块,atherosclerotic plaque|atherosclerotic plaque|
肾小球肾炎,glomerulonephritis|glomerular nephritis|GN|
肾炎,nephritis|nephritis|Bright's disease|brightism|neph.|nephritis|
乳腺肥大,hypermastia|hypermastia|hypermastia|
乳腺囊肿,galactocele|galactoma|galactoncus|galactoncus|galactocele|galactoma|galactoncus|lacteal cyst|lacteal tumor|lactocele|
疥疮,itch|psora|psychosomatic|puces|scab|scabies|glae|itch|psora|puces|sarcoptic ascariasis|scabies|gaile|gale|itch|psora|puces|scabies|seven-year itch|
瘊子,
胃酸缺乏,achlorhydria|aclorhydria|aclorhydria|anachlorhydia|gastric anacidity|
胃酸,gastric acid|gastric acidity|hydrochloric acid in gastric juice|gastric acid|
急性乳腺炎,acute mastitis|acutemastitis|acute mastadenitis|acutemastitis|Acute mastitis|
产褥期乳腺炎,puerperal mastitis|puerperal mastitis|
过敏性紫癜性肾炎,anaphy lactoid purpura nephritis|nephritis of Schonlein-Henoch purpura|
色素痣,epichrosis spilus|naevus pigmentosus|pigmented nevus|pigmented mole|pigmented naevus|pigmented nevus|PN|
痣细胞痣,
肺底,base of lung|basis pulmonis|
甲状腺肿,bronchocele|goiter|goitre|struma|goiter|deroncus|goiter|goitre|gongrona|struma|thyreocele|thyreoncus|thyrocele|thyromegaly|thyroncus|tracheophyma|Troell-Junet syndrome|
独活,pubescent angelica root|root of doubleteeth pubescent angelica|Pubescent Angelice and Loranthus Deciction|angelica root|pubescent angelica root|root of double teeth pubescent angelica|root of doubleteeth pubescent angelica|angelica tuhov,radix|angelicae pubescentis,radix|doubleteeth pubescent angelica root|heraclei,radix|
脾亢,
日落黄,sun set yellow|
橘黄,
节段性分离性感觉障碍,
猝死型冠心病,
手抖,
心内膜弹力纤维增生,
脊髓病变,myeleterosis|myeleterosis|
合萌,common aeschynomene herb|
田皂角,Aeschynomene indica L.|
妄想阵发,bouffee delirante|
剧烈头痛,severe headache|severe headache|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
色素,pigment|pigments|pigment|chrom-|colorant|coloring material|coloring matter|colourant|pig.|pigm.|pigmented|pigments|pigmentum|stain|
色阶,
无力,anergy|asthenia|inertia|weakness|adynamia|asthenia|impotence|inadility|incapability|inertia|lethargy|acratia|adynamia|anergia|asth.|asthen-|asthenia|astheno-|debilitation|debility|debll.|inability|inertia|languor|somasthenia|weakness|
呼吸异常,abnormality of respiration|
