團,LGJF
圞,LXYS
土,FFFF
圜,LLGE
園,LFKE
圓,|||||
圖,LKFK
圊,LGED
國,|||||
圈,LUDB
圉,LFUF
圌,LMDJ
圍,LNHH
圃,LGEY
圆,LKMI
圇,LWGA
圄,LGKD
圅,CLUF
场,FNRT
圻,FRH
镔,QPRW
圹,FYT
圾,FEYY
圳,FKH
地,FBN
圪,FTNN
在,DHFD
圩,FGFH
圮,FNN
圯,FNN
圬,FFNN
圭,FFF
圣,CFF
棰,STGF
棱,SFWT
棲,SGVV
亂,ECMN
棵,SJSY
棶,SSWW
了,BNH
争,QVHJ
予,CBJ
棺,SPNN
棻,AWVS
棼,SSWV
二,FGG
亏,FNV
于,|||||
云,FCU
亓,FJJ
互,GXGD
井,FJK
五,|||||
棧,SAAT
亙,GHNG
亘,GJGF
些,HXFF
亚,GOGD
棬,SUDB
亜,GKJG
亟,BKCG
棯,SWYN
亡,YNV
棑,SDJD
棒,SDWH
棓,SUKG
亥,YNTW
棕,SPFI
产,UTE
棗,GMII
棘,GMII
亨,YBJ
享,YBF
亭,YPSJ
京,YIU
亮,YPMB
检,SWGI
棁,SUKQ
棂,SVOY
亲,USU
棄,YCAS
亷,UTVO
亶,YLKG
亹,YWFG
棉,SRMH
人,WWWW
棍,SJXX
亿,WNN
浒,IYTF
酿,SGYE
浑,IPLH
酱,UQSG
毽,TFNP
酵,SGFB
浛,IWYK
酶,SGTU
浆,UQIU
浅,|||||
酬,SGYH
酮,SGMK
济,IYJH
浍,IWFC
浊,IJY
测,|||||
酧,SGPF
酗,SGQB
酉,SGD
棹,SHJH
事,GKVH
酌,SGQY
蓂,APJU
蓀,ABTI
蓁,ADWT
蓆,AYAH
蓇,AMEF
蓄,AYXL
蓊,AWCN
蓋,AFCL
蓈,AYVB
蓉,APWK
蓍,AFTJ
蓓,AWUK
蓐,ADFF
蓑,AYKE
蓖,ATLX
蓟,AQGJ
蓝,AJTL
蓣,ACBM
蓠,AYBC
蓦,AJDC
蓤,AUFT
蓥,APQF
蓮,ALPU
蓯,ATWH
蓬,ATDP
蓳,|||||
蓰,ATHH
棣,SVIY
蓴,AGJF
浩,ITFK
蓿,APWJ
蓼,ANWE
蓽,AJAF
有,DEF
月,|||||
朋,EEG
朊,EFQN
服,EBCY
最,JBCU
會,WGLJ
望,YNEG
朝,FJEG
期,ADWE
朐,|||||
朕,|||||
棪,SOOY
朗,YVCE
木,SSSS
末,GSI
未,FII
札,SNN
本,SGD
术,SYI
朮,FQYI
亝,CCCF
朢,AHNG
朧,EUED
朦,EAPE
朹,SVN
机,SMN
朽,SGNN
森,SSSU
朱,RII
朳,SWY
亞,GHGG
朵,MSU
朴,SHY
朶,ESU
亢,YMB
交,UQU
棖,SDEY
亦,|||||
亩,YLF
棚,SEEG
砼,DWAG
砾,DQIY
砸,DAMH
砹,DAQY
砺,DDDN
砻,DXDF
破,DHCY
砵,DSGG
砷,DJHH
砰,DGUH
砬,DUG
砭,DTPY
砩,DXJH
砤,DTBN
砥,DQAY
砦,HXDF
棟,SGJI
砣,DPXN
砜,DMQY
砝,DFCY
砟,|||||
砘,DGBN
砚,DMQN
研,DGAH
砖,DFNY
砗,DLH
亳,YPTA
砒,DXXN
砌,DAVN
砍,DQWY
棃,TQTS
砉,DHDF
亵,YRVE
砀,|||||
码,DCG
砂,DITT
髲,DEHC
髰,DEAN
髻,DEFK
髹,DEWS
髽,DEWF
髡,DEGQ
髠,DEMB
髦,DETN
髥,DEMF
亸,YBUF
髫,DEVK
髨,DEFQ
髯,DEMF
髭,DEHX
递,UXHP
髓,|||||
髒,MEAA
髑,MELJ
棋,SADW
髖,MEPY
髕,MEPM
髙,YJFK
高,YMKF
髟,DET
髃,MEJY
髂,MEPK
髁,MEJS
髀,MERF
髅,MEOV
髋,MEPQ
髊,MEUA
髈,MEUY
髏,MEKV
髎,MENE
髌,MEPW
巋,MWNH
巉,MQKY
巍,MTVC
巀,MIWA
巇,MHAA
巅,MFHM
巛,VNNN
州,YTYH
川,|||||
巓,MXHM
巒,XYXM
巗,|||||
巖,|||||
巫,AWWI
巩,AMYY
巨,AND
巯,CAYQ
差,UDAF
巢,VJSU
巡,VPV
巧,AGNN
左,DAF
工,AAAA
巻,UDNB
巾,MHK
巽,NNAW
巳,NNGN
已,|||||
己,NNGN
巰,GVAQ
巷,AWNB
巵,RGCV
巴,CNHN
燕,AUKO
燔,OTOL
燐,OOQH
燒,|||||
燜,OUNY
營,OOPK
燙,IJGO
燚,OOOO
燄,QVOO
燁,OAGF
燀,OKKF
燃,|||||
逖,QTOP
燎,ODUI
燉,OYBT
燈,OWGU
燊,OOOS
燴,OWGJ
燼,OVHL
燿,ONWY
燾,FNAO
燹,EEOU
燥,OKKS
燧,OUEP
燦,OHQO
燠,OTMD
燭,OLQJ
燮,OYOC
燨,OUGT
齑,YDJJ
斬,LRH
逕,GVAP
斡,FJWF
齇,THLG
這,YPD
逞,KGPD
齲,HWWY
斉,YJFF
齶,HWWN
文,YYGY
閆,UDD
門,UHNG
訶,YSKG
閂,UGD
閃,UWI
註,|||||
診,YWET
閎,UDCI
閏,UGD
